"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",NA,0.0398455274661573,0.00684004859497744,0.0388957803811863,0.015599787884381,0.105839762004468,0.0403819029304332,0.136422163852489,0.0281931475885535,0.136523719084519,0.106935691363316,0.010721750798181
"2",NA,NA,0.0403568165054481,0.0023210552303721,0.0317525658978867,0.0680502420259267,0.00125898371918069,0.122429426373963,0.00340916331985146,0.122790266635598,0.0979147900513559,0.0312629966625052
"3",NA,NA,NA,0.0384397519145759,0.0184761182248823,0.0988972991175846,0.0407860297093293,0.138121621016475,0.0295795702784498,0.138249923129566,0.109163336421238,0.0153632933498046
"4",NA,NA,NA,NA,0.0287210345936916,0.0555603797549953,0.002176178734749,0.120976417286838,0.00370070447166582,0.121315623060544,0.0962733920083538,0.0293068770935592
"5",NA,NA,NA,NA,NA,0.0768480571419923,0.0318082816714651,0.111423145984522,0.0236343321896136,0.111708184481705,0.085513220612424,0.00586437608986229
"6",NA,NA,NA,NA,NA,NA,0.0666732942453958,0.163631382063202,0.0699956454979753,0.163427239291275,0.140881178111567,0.0835834863611377
"7",NA,NA,NA,NA,NA,NA,NA,0.121818075755355,0.00367097766998471,0.122136077005334,0.0973208787284004,0.0314371658566079
"8",NA,NA,NA,NA,NA,NA,NA,NA,0.120057877788906,0.0053427642054337,0.0047066378986679,0.098303478779531
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120421155208638,0.0946330369971487,0.0226455571408635
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361837102311044,0.0985491864584309
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0732260746860326
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
